"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword banana should display the corresponding article","FAILURE","2020-11-14T12:00:23.493444+02:00[Europe/Bucharest]","0.0","12.32"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2020-11-14T12:00:36.224325+02:00[Europe/Bucharest]","0.0","0.21"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2020-11-14T12:00:36.597587+02:00[Europe/Bucharest]","0.0","5.05"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2020-11-16T13:10:35.274524+02:00[Europe/Bucharest]","0.0","8.84"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2020-11-16T13:10:44.471941+02:00[Europe/Bucharest]","0.0","0.15"
"Search by keyword story","Searching by keyword apple should display the corresponding article","ERROR","2020-11-16T13:18:39.284238+02:00[Europe/Bucharest]","0.0","8.22"
"Bookster story","Create account","SUCCESS","2020-11-16T14:31:45.658932+02:00[Europe/Bucharest]","0.0","2.46"
"Bookster story","Enter account","FAILURE","2020-11-16T14:59:08.26238+02:00[Europe/Bucharest]","0.0","7.23"
"Bookster story","Is button a visible","SUCCESS","2020-11-16T15:00:55.629183+02:00[Europe/Bucharest]","0.0","7.46"
"Bookster story","Go to home page","SUCCESS","2020-11-16T16:46:35.769202+02:00[Europe/Bucharest]","0.0","12.03"
"Bookster story","Search","SUCCESS","2020-11-16T17:57:35.861084+02:00[Europe/Bucharest]","0.0","15.51"
"Bookster story","Go to home page and login","SUCCESS","2020-11-16T18:52:05.096974+02:00[Europe/Bucharest]","0.0","12.29"
"Bookster story","Remove a book to wishlist","SUCCESS","2020-11-17T23:36:00.203297+02:00[Europe/Bucharest]","0.0","18.96"
"Bookster story","Remove a book from wishlist","ERROR","2020-11-18T16:04:46.474452+02:00[Europe/Bucharest]","0.0","16.99"
"Bookster story csv data","Search for","SUCCESS","2020-11-20T19:52:53.683706+02:00[Europe/Bucharest]","0.0","26.18"
"Bookster story","Non valid login","SUCCESS","2020-11-20T22:19:32.167063+02:00[Europe/Bucharest]","0.0","11.95"
"Bookster story","Add a book to library","SUCCESS","2020-11-20T22:19:44.475206+02:00[Europe/Bucharest]","0.0","12.53"
"Bookster story","Go to home page and login","SUCCESS","2020-11-20T22:19:57.112571+02:00[Europe/Bucharest]","0.0","5.89"
"Bookster story","Add a book to wishlist","SUCCESS","2020-11-20T22:20:03.132726+02:00[Europe/Bucharest]","0.0","11.33"
